N,steps,residual
100,0,0.92797
100,1,0.589166
100,2,0.452445
100,3,0.364369
100,4,0.318223
100,5,0.270608
100,6,0.240915
100,7,0.209718
100,8,0.191642
100,9,0.167558
100,10,0.157345
100,11,0.140864
100,12,0.134951
100,13,0.12979
100,14,0.124655
100,15,0.120125
100,16,0.115647
100,17,0.111611
100,18,0.107678
100,19,0.104041
100,20,0.10056
100,21,0.0972595
100,22,0.0941557
100,23,0.0911458
100,24,0.0883599
100,25,0.0856065
100,26,0.0830914
100,27,0.0805671
100,28,0.0783043
100,29,0.0760903
100,30,0.0740372
100,31,0.072019
100,32,0.0701086
100,33,0.0682603
100,34,0.066484
100,35,0.0647843
100,36,0.063134
100,37,0.0615651
100,38,0.0600327
100,39,0.05858
100,40,0.0571576
100,41,0.0558082
100,42,0.0544884
100,43,0.0532315
100,44,0.0520072
100,45,0.0508333
100,46,0.0496979
100,47,0.0485985
100,48,0.0475458
100,49,0.0465137
100,50,0.045538
100,51,0.0445665
100,52,0.0436626
100,53,0.0427456
100,54,0.0419087
100,55,0.041041
100,56,0.0402667
100,57,0.0394433
100,58,0.0387276
100,59,0.0379442
100,60,0.0372834
100,61,0.0365359
100,62,0.0359268
100,63,0.0352115
100,64,0.034651
100,65,0.0339645
100,66,0.0334499
100,67,0.0327892
100,68,0.032318
100,69,0.0316802
100,70,0.0312501
100,71,0.0306574
100,72,0.0302415
100,73,0.0297095
100,74,0.029309
100,75,0.0288116
100,76,0.0284614
100,77,0.0279603
100,78,0.0276563
100,79,0.0271636
100,80,0.026891
100,81,0.0264427
100,82,0.0261799
100,83,0.0258462
100,84,0.0255995
100,85,0.0252652
100,86,0.0250345
100,87,0.0246995
100,88,0.0244847
100,89,0.0241487
100,90,0.0239497
100,91,0.0236126
100,92,0.023429
100,93,0.0230909
100,94,0.0229224
100,95,0.0225832
100,96,0.0224295
100,97,0.0220893
100,98,0.0219498
100,99,0.0216089
100,100,0.0214831
100,101,0.0211574
100,102,0.0210289
100,103,0.0207261
100,104,0.0205869
100,105,0.0203141
100,106,0.02017
100,107,0.0199486
100,108,0.0198066
100,109,0.0196154
100,110,0.019452
100,111,0.019303
100,112,0.0191086
100,113,0.0190045
100,114,0.0188003
100,115,0.0187117
100,116,0.0185059
100,117,0.0184246
100,118,0.0182175
100,119,0.0181429
100,120,0.0179348
100,121,0.0178667
100,122,0.0176701
100,123,0.0175957
100,124,0.0174132
100,125,0.0173299
100,126,0.0171609
100,127,0.0170692
100,128,0.016913
100,129,0.0168134
100,130,0.0166694
100,131,0.0165624
100,132,0.0164301
100,133,0.0163162
100,134,0.0161949
100,135,0.0160746
100,136,0.0159639
100,137,0.0158461
100,138,0.0157369
100,139,0.015636
100,140,0.0155138
100,141,0.0154291
100,142,0.0152946
100,143,0.0152254
100,144,0.0150885
100,145,0.0150248
100,146,0.0148918
100,147,0.0148272
100,148,0.0147012
100,149,0.0146327
100,150,0.0145138
100,151,0.0144412
100,152,0.014329
