N,steps,min,max,total
100,0,0,1,470869
100,1,0,1,937893
100,2,0,1,1.40492e+06
100,3,0,1,1.87194e+06
100,4,0,1,2.33896e+06
100,5,0,1,2.80599e+06
100,6,0,1,3.27301e+06
100,7,0,1,3.74004e+06
100,8,0,1,4.20706e+06
100,9,0,1,4.67408e+06
100,10,0,1,5.14111e+06
100,11,0,1,5.60813e+06
100,12,0,1,6.07515e+06
100,13,0,1,6.54218e+06
100,14,0,1,7.0092e+06
100,15,0,1,7.47623e+06
100,16,0,1,7.94325e+06
100,17,0,1,8.41027e+06
100,18,0,1,8.8773e+06
100,19,0,1,9.34432e+06
100,20,0,1,9.81134e+06
100,21,0,1,1.02784e+07
100,22,0,1,1.07454e+07
100,23,0,1,1.12124e+07
100,24,0,1,1.16794e+07
100,25,0,1,1.21465e+07
100,26,0,1,1.26135e+07
100,27,0,1,1.30805e+07
100,28,0,1,1.35475e+07
100,29,0,1,1.40146e+07
100,30,0,1,1.44816e+07
100,31,0,1,1.49486e+07
100,32,0,1,1.54156e+07
100,33,0,1,1.58827e+07
100,34,0,1,1.63497e+07
100,35,0,1,1.68167e+07
100,36,0,1,1.72837e+07
100,37,0,1,1.77507e+07
100,38,0,1,1.82178e+07
100,39,0,1,1.86848e+07
100,40,0,1,1.91518e+07
100,41,0,1,1.96188e+07
100,42,0,1,2.00859e+07
100,43,0,1,2.05529e+07
100,44,0,1,2.10199e+07
100,45,0,1,2.14869e+07
100,46,0,1,2.1954e+07
100,47,0,1,2.2421e+07
100,48,0,1,2.2888e+07
100,49,0,1,2.3355e+07
100,50,0,1,2.38221e+07
100,51,0,1,2.42891e+07
100,52,0,1,2.47561e+07
100,53,0,1,2.52231e+07
100,54,0,1,2.56902e+07
100,55,0,1,2.61572e+07
100,56,0,1,2.66242e+07
100,57,0,1,2.70912e+07
100,58,0,1,2.75582e+07
100,59,0,1,2.80253e+07
100,60,0,1,2.84923e+07
100,61,0,1,2.89593e+07
100,62,0,1,2.94263e+07
100,63,0,1,2.98934e+07
100,64,0,1,3.03604e+07
100,65,0,1,3.08274e+07
100,66,0,1,3.12944e+07
100,67,0,1,3.17615e+07
100,68,0,1,3.22285e+07
100,69,0,1,3.26955e+07
100,70,0,1,3.31625e+07
100,71,0,1,3.36296e+07
100,72,0,1,3.40966e+07
100,73,0,1,3.45636e+07
100,74,0,1,3.50306e+07
100,75,0,1,3.54976e+07
100,76,0,1,3.59647e+07
100,77,0,1,3.64317e+07
100,78,0,1,3.68987e+07
100,79,0,1,3.73657e+07
100,80,0,1,3.78328e+07
100,81,0,1,3.82998e+07
100,82,0,1,3.87668e+07
100,83,0,1,3.92338e+07
100,84,0,1,3.97009e+07
100,85,0,1,4.01679e+07
100,86,0,1,4.06349e+07
100,87,0,1,4.11019e+07
100,88,0,1,4.1569e+07
100,89,0,1,4.2036e+07
100,90,0,1,4.2503e+07
100,91,0,1,4.297e+07
100,92,0,1,4.34371e+07
100,93,0,1,4.39041e+07
100,94,0,1,4.43711e+07
100,95,0,1,4.48381e+07
100,96,0,1,4.53051e+07
100,97,0,1,4.57722e+07
100,98,0,1,4.62392e+07
100,99,0,1,4.67062e+07
100,100,0,1,4.71732e+07
100,101,0,1,4.76403e+07
100,102,0,1,4.81073e+07
100,103,0,1,4.85743e+07
100,104,0,1,4.90413e+07
100,105,0,1,4.95084e+07
100,106,0,1,4.99754e+07
100,107,0,1,5.04424e+07
100,108,0,1,5.09094e+07
100,109,0,1,5.13765e+07
100,110,0,1,5.18435e+07
100,111,0,1,5.23105e+07
100,112,0,1,5.27775e+07
100,113,0,1,5.32446e+07
100,114,0,1,5.37116e+07
100,115,0,1,5.41786e+07
100,116,0,1,5.46456e+07
100,117,0,1,5.51126e+07
100,118,0,1,5.55797e+07
100,119,0,1,5.60467e+07
100,120,0,1,5.65137e+07
100,121,0,1,5.69807e+07
100,122,0,1,5.74478e+07
100,123,0,1,5.79148e+07
100,124,0,1,5.83818e+07
100,125,0,1,5.88488e+07
100,126,0,1,5.93159e+07
100,127,0,1,5.97829e+07
100,128,0,1,6.02499e+07
100,129,0,1,6.07169e+07
100,130,0,1,6.1184e+07
100,131,0,1,6.1651e+07
100,132,0,1,6.2118e+07
100,133,0,1,6.2585e+07
100,134,0,1,6.30521e+07
100,135,0,1,6.35191e+07
100,136,0,1,6.39861e+07
100,137,0,1,6.44531e+07
100,138,0,1,6.49201e+07
100,139,0,1,6.53872e+07
100,140,0,1,6.58542e+07
100,141,0,1,6.63212e+07
100,142,0,1,6.67882e+07
100,143,0,1,6.72553e+07
100,144,0,1,6.77223e+07
100,145,0,1,6.81893e+07
100,146,0,1,6.86563e+07
100,147,0,1,6.91234e+07
100,148,0,1,6.95904e+07
100,149,0,1,7.00574e+07
100,150,0,1,7.05244e+07
100,151,0,1,7.09915e+07
100,152,0,1,7.14585e+07
100,153,0,1,7.19255e+07
100,154,0,1,7.23925e+07
100,155,0,1,7.28595e+07
100,156,0,1,7.33266e+07
100,157,0,1,7.37936e+07
100,158,0,1,7.42606e+07
100,159,0,1,7.47276e+07
100,160,0,1,7.51947e+07
100,161,0,1,7.56617e+07
100,162,0,1,7.61287e+07
100,163,0,1,7.65957e+07
100,164,0,1,7.70628e+07
100,165,0,1,7.75298e+07
100,166,0,1,7.79968e+07
100,167,0,1,7.84638e+07
100,168,0,1,7.89309e+07
100,169,0,1,7.93979e+07
100,170,0,1,7.98649e+07
100,171,0,1,8.03319e+07
100,172,0,1,8.0799e+07
100,173,0,1,8.1266e+07
100,174,0,1,8.1733e+07
100,175,0,1,8.22e+07
100,176,0,1,8.2667e+07
100,177,0,1,8.31341e+07
100,178,0,1,8.36011e+07
100,179,0,1,8.40681e+07
100,180,0,1,8.45351e+07
100,181,0,1,8.50022e+07
100,182,0,1,8.54692e+07
100,183,0,1,8.59362e+07
100,184,0,1,8.64032e+07
100,185,0,1,8.68703e+07
100,186,0,1,8.73373e+07
100,187,0,1,8.78043e+07
100,188,0,1,8.82713e+07
100,189,0,1,8.87384e+07
100,190,0,1,8.92054e+07
100,191,0,1,8.96724e+07
